Family,Genus,beta.visitv2,beta.age,se.visitv2,se.age,W.visitv2,W.age,p.visitv2,p.age,q.visitv2,q.age,structural_zero (visit = v1),structural_zero (visit = v2)
Methanobacteriaceae,Methanobrevibacter,-0.248,-0.0138,0.376,0.0122,-0.66,-1.13,0.509,0.259,0.856,0.618,No,No
Methanobacteriaceae,Methanosphaera,0.477,-0.0196,0.188,0.00467,2.53,-4.2,0.0114,2.7e-5,0.6,0.00148,No,No
Actinomycetaceae,Actinomyces,-0.167,4.73e-4,0.254,0.0095,-0.658,0.0498,0.511,0.96,0.856,0.991,No,No
Bifidobacteriaceae,Bifidobacterium,-0.398,0.014,0.473,0.016,-0.841,0.877,0.4,0.38,0.856,0.683,No,No
Coriobacteriaceae,Collinsella,-0.78,0.0237,0.373,0.011,-2.09,2.17,0.0367,0.0303,0.6,0.144,No,No
Coriobacteriaceae,Slackia,0.172,0.0241,0.261,0.0076,0.657,3.17,0.511,0.00151,0.856,0.0223,No,No
[Odoribacteraceae],Butyricimonas,0.264,-0.00976,0.317,0.00933,0.832,-1.05,0.406,0.296,0.856,0.629,No,No
[Odoribacteraceae],Odoribacter,0.186,0.00139,0.267,0.00734,0.695,0.19,0.487,0.849,0.856,0.94,No,No
[Paraprevotellaceae],[Prevotella],0.194,-0.0457,0.498,0.0164,0.39,-2.79,0.696,0.00533,0.937,0.0472,No,No
[Paraprevotellaceae],CF231,0.0424,-0.0093,0.24,0.00737,0.177,-1.26,0.859,0.207,0.993,0.559,No,No
[Paraprevotellaceae],Paraprevotella,0.843,-0.0281,0.381,0.0108,2.21,-2.6,0.0269,0.00932,0.6,0.0642,No,No
Bacteroidaceae,Bacteroides,0.406,-0.00839,0.339,0.0118,1.2,-0.711,0.231,0.477,0.856,0.721,No,No
Porphyromonadaceae,Parabacteroides,-0.221,-0.00391,0.326,0.00899,-0.678,-0.435,0.498,0.663,0.856,0.855,No,No
Prevotellaceae,Prevotella,0.163,-0.0176,0.492,0.0148,0.331,-1.19,0.74,0.236,0.937,0.585,No,No
Rikenellaceae,Alistipes,0.134,0.00705,0.4,0.0127,0.335,0.557,0.737,0.578,0.937,0.806,No,No
Enterococcaceae,Enterococcus,0.462,-0.0115,0.24,0.00724,1.93,-1.6,0.0542,0.111,0.672,0.312,No,No
Lactobacillaceae,Lactobacillus,-0.148,-0.00684,0.198,0.00789,-0.746,-0.867,0.456,0.386,0.856,0.683,No,No
Streptococcaceae,Streptococcus,0.443,0.00862,0.303,0.0119,1.47,0.724,0.143,0.469,0.856,0.721,No,No
Turicibacteraceae,Turicibacter,0.344,-1.27e-4,0.297,0.0114,1.16,-0.0111,0.247,0.991,0.856,0.991,No,No
[Mogibacteriaceae],Mogibacterium,-0.409,0.00497,0.303,0.0101,-1.35,0.492,0.177,0.623,0.856,0.828,No,No
Clostridiaceae,02d06,-0.307,-0.00733,0.284,0.00947,-1.08,-0.774,0.279,0.439,0.856,0.721,No,No
NA,Clostridium,0.0135,0.00583,0.358,0.0107,0.0378,0.546,0.97,0.585,0.993,0.806,No,No
Clostridiaceae,SMB53,0.163,-0.0084,0.261,0.00953,0.624,-0.881,0.533,0.378,0.86,0.683,No,No
Dehalobacteriaceae,Dehalobacterium,0.00993,-0.0151,0.162,0.00574,0.0612,-2.63,0.951,0.00844,0.993,0.0642,No,No
Lachnospiraceae,[Ruminococcus],0.244,0.00343,0.209,0.00577,1.17,0.593,0.243,0.553,0.856,0.798,No,No
Lachnospiraceae,Anaerostipes,-0.308,-9.32e-5,0.226,0.00798,-1.36,-0.0117,0.174,0.991,0.856,0.991,No,No
Lachnospiraceae,Blautia,-0.0861,0.0122,0.227,0.00722,-0.379,1.69,0.704,0.0903,0.937,0.28,No,No
Lachnospiraceae,Butyrivibrio,-0.261,-0.0402,0.395,0.0101,-0.661,-3.97,0.509,7.18e-5,0.856,0.00148,No,No
Lachnospiraceae,Coprococcus,0.165,0.00126,0.171,0.00477,0.967,0.263,0.333,0.792,0.856,0.893,No,No
Lachnospiraceae,Defluviitalea,0.343,-0.0107,0.166,0.00537,2.07,-1.98,0.0387,0.0475,0.6,0.21,No,No
Lachnospiraceae,Dorea,-0.00859,0.00773,0.241,0.00637,-0.0356,1.21,0.972,0.225,0.993,0.582,No,No
Lachnospiraceae,Lachnobacterium,0.0385,-0.0185,0.334,0.00975,0.115,-1.9,0.908,0.058,0.993,0.228,No,No
Lachnospiraceae,Lachnospira,-0.0248,-0.0168,0.336,0.0104,-0.0738,-1.62,0.941,0.104,0.993,0.308,No,No
Lachnospiraceae,Oribacterium,0.065,-0.0223,0.369,0.012,0.176,-1.86,0.86,0.0634,0.993,0.228,No,No
Lachnospiraceae,Roseburia,0.266,0.00202,0.224,0.0065,1.19,0.311,0.235,0.756,0.856,0.874,No,No
Ruminococcus,Ruminococcus,0.0785,-5.79e-4,0.221,0.00694,0.354,-0.0834,0.723,0.934,0.937,0.981,No,No
Peptococcaceae,Peptococcus,0.118,-0.0264,0.322,0.0116,0.366,-2.27,0.715,0.023,0.937,0.127,No,No
Ruminococcaceae,Butyricicoccus,-0.136,-0.0252,0.255,0.00806,-0.535,-3.12,0.593,0.0018,0.877,0.0223,No,No
Ruminococcaceae,Faecalibacterium,0.154,6.15e-4,0.178,0.00556,0.863,0.111,0.388,0.912,0.856,0.981,No,No
Ruminococcaceae,Gemmiger,0.00232,0.006,0.255,0.00764,0.0091,0.785,0.993,0.433,0.993,0.721,No,No
Ruminococcaceae,Oscillospira,-0.00638,-6.36e-4,0.223,0.00666,-0.0286,-0.0956,0.977,0.924,0.993,0.981,No,No
Veillonellaceae,Acidaminococcus,0.321,-0.0117,0.377,0.0116,0.851,-1.01,0.395,0.315,0.856,0.629,No,No
Veillonellaceae,Anaerovibrio,-0.0706,-0.0176,0.276,0.00706,-0.256,-2.48,0.798,0.013,0.976,0.0805,No,No
Veillonellaceae,Dialister,-0.331,-0.0245,0.429,0.0133,-0.771,-1.84,0.441,0.0661,0.856,0.228,No,No
Veillonellaceae,Megasphaera,0.266,0.00542,0.442,0.0141,0.601,0.383,0.548,0.701,0.86,0.861,No,No
Veillonellaceae,Mitsuokella,0.214,-0.013,0.402,0.0147,0.533,-0.886,0.594,0.376,0.877,0.683,No,No
Veillonellaceae,Phascolarctobacterium,-0.645,0.0048,0.359,0.0115,-1.79,0.418,0.0728,0.676,0.752,0.855,No,No
Veillonellaceae,Veillonella,0.0955,-0.0189,0.211,0.00618,0.453,-3.06,0.651,0.00218,0.937,0.0225,No,No
Erysipelotrichaceae,[Eubacterium],-0.277,0.0139,0.29,0.00786,-0.957,1.77,0.339,0.0769,0.856,0.251,No,No
Erysipelotrichaceae,Bulleidia,-0.0369,0.00848,0.343,0.0114,-0.107,0.74,0.914,0.459,0.993,0.721,No,No
Erysipelotrichaceae,Catenibacterium,-0.49,0.00442,0.418,0.0137,-1.17,0.322,0.241,0.748,0.856,0.874,No,No
Erysipelotrichaceae,Holdemania,0.201,-0.00645,0.192,0.00598,1.05,-1.08,0.295,0.281,0.856,0.623,No,No
Erysipelotrichaceae,p-75-a5,0.0347,-0.0143,0.225,0.00637,0.154,-2.25,0.877,0.0246,0.993,0.127,No,No
Erysipelotrichaceae,RFN20,-0.3,0.00627,0.236,0.00882,-1.27,0.711,0.203,0.477,0.856,0.721,No,No
Alcaligenaceae,Sutterella,0.295,-0.0119,0.339,0.0109,0.87,-1.09,0.384,0.275,0.856,0.623,No,No
Oxalobacteraceae,Oxalobacter,0.152,-0.00347,0.2,0.00716,0.759,-0.485,0.448,0.628,0.856,0.828,No,No
Desulfovibrionaceae,Bilophila,-0.172,0.0192,0.291,0.0105,-0.59,1.84,0.555,0.066,0.86,0.228,No,No
Desulfovibrionaceae,Desulfovibrio,-0.307,-0.00706,0.361,0.0119,-0.85,-0.593,0.395,0.553,0.856,0.798,No,No
Succinivibrionaceae,Succinivibrio,-0.742,-0.0197,0.534,0.0192,-1.39,-1.03,0.165,0.305,0.856,0.629,No,No
Pasteurellaceae,Haemophilus,0.0517,-0.0235,0.207,0.00583,0.249,-4.02,0.803,5.71e-5,0.976,0.00148,No,No
Verrucomicrobiaceae,Akkermansia,0.355,-0.00428,0.417,0.0141,0.85,-0.304,0.395,0.761,0.856,0.874,No,No
NA,Unknown,-0.164,-0.00114,0.104,0.00303,-1.57,-0.375,0.117,0.708,0.856,0.861,No,No
