Family,Genus,Species,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Bifidobacteriaceae,Bifidobacterium,B.adolescentis,1.23,0.807,0.0393,0.674,0.593,0.0212,1.83,1.36,1.85,0.0674,0.174,0.064,0.692,0.641,0.384,No,No,No
Coriobacteriaceae,Collinsella,C.aerofaciens,-0.527,-0.52,0.0119,0.5,0.453,0.0113,-1.05,-1.15,1.05,0.291,0.251,0.292,0.692,0.753,0.581,No,No,No
Bacteroidaceae,Bacteroides,B.caccae,0.396,0.0186,0.0143,0.509,0.473,0.0143,0.777,0.0393,0.998,0.437,0.969,0.318,0.801,0.969,0.581,No,No,No
Bacteroidaceae,Bacteroides,B.eggerthii,0.62,0.126,-0.00425,0.459,0.434,0.0122,1.35,0.29,-0.347,0.177,0.771,0.728,0.692,0.954,0.9,No,No,No
Bacteroidaceae,Bacteroides,B.fragilis,0.227,-0.392,-0.0089,0.464,0.445,0.00987,0.49,-0.88,-0.902,0.624,0.379,0.367,0.836,0.858,0.642,No,No,No
Bacteroidaceae,Bacteroides,B.ovatus,-0.461,0.996,-0.0178,0.579,0.573,0.0155,-0.796,1.74,-1.14,0.426,0.0822,0.252,0.801,0.641,0.581,No,No,No
Bacteroidaceae,Bacteroides,B.uniformis,-0.314,0.105,0.0118,0.63,0.595,0.0153,-0.499,0.176,0.772,0.618,0.86,0.44,0.836,0.954,0.696,No,No,No
Porphyromonadaceae,Parabacteroides,P.distasonis,0.59,0.824,-0.0295,0.387,0.424,0.00874,1.52,1.94,-3.37,0.127,0.0521,7.41e-4,0.692,0.641,0.0156,No,No,No
Prevotellaceae,Prevotella,P.copri,0.431,1.23,-0.0312,0.911,0.843,0.0312,0.472,1.46,-1,0.637,0.144,0.317,0.836,0.641,0.581,No,No,No
Prevotellaceae,Prevotella,P.stercorea,0.782,0.695,-0.0211,0.759,0.806,0.0203,1.03,0.863,-1.04,0.303,0.388,0.299,0.692,0.858,0.581,No,No,No
Rikenellaceae,Alistipes,A.indistinctus,0.301,0.582,0.00492,0.428,0.392,0.011,0.703,1.49,0.448,0.482,0.137,0.654,0.836,0.641,0.859,No,No,No
Rikenellaceae,Alistipes,A.massiliensis,-0.157,-0.245,-0.00546,0.279,0.346,0.0064,-0.563,-0.707,-0.853,0.574,0.48,0.394,0.836,0.861,0.661,No,No,No
Rikenellaceae,Alistipes,A.onderdonkii,-0.235,0.0886,-0.0123,0.304,0.388,0.0107,-0.774,0.228,-1.14,0.439,0.819,0.253,0.801,0.954,0.581,No,No,No
Rikenellaceae,Alistipes,A.putredinis,-0.216,-0.0792,0.0113,0.554,0.586,0.0156,-0.39,-0.135,0.722,0.697,0.893,0.47,0.836,0.961,0.705,No,No,No
Clostridiaceae,Clostridium,C.celatum,-0.0367,0.19,-2.7e-4,0.508,0.515,0.0137,-0.0722,0.369,-0.0197,0.942,0.712,0.984,0.942,0.954,0.984,No,No,No
Lachnospiraceae,[Ruminococcus],R.gnavus,-0.13,-0.204,2.11e-4,0.317,0.251,0.0071,-0.409,-0.815,0.0297,0.682,0.415,0.976,0.836,0.861,0.984,No,No,No
Lachnospiraceae,[Ruminococcus],R.torques,-0.542,-0.516,0.013,0.372,0.397,0.0122,-1.46,-1.3,1.07,0.145,0.194,0.286,0.692,0.641,0.581,No,No,No
Lachnospiraceae,Blautia,B.obeum,-0.149,-0.534,0.00986,0.34,0.333,0.00758,-0.44,-1.6,1.3,0.66,0.109,0.193,0.836,0.641,0.581,No,No,No
Lachnospiraceae,Blautia,B.producta,-0.538,-0.172,-0.00378,0.477,0.52,0.0137,-1.13,-0.33,-0.276,0.26,0.741,0.782,0.692,0.954,0.939,No,No,No
Lachnospiraceae,Butyrivibrio,B.crossotus,0.657,-0.114,-0.0505,0.617,0.66,0.0128,1.07,-0.173,-3.93,0.286,0.863,8.38e-5,0.692,0.954,0.00352,No,No,No
Lachnospiraceae,Clostridium,C.citroniae,0.116,0.503,-0.00954,0.255,0.385,0.00941,0.456,1.31,-1.01,0.649,0.192,0.311,0.836,0.641,0.581,No,No,No
Lachnospiraceae,Coprococcus,C.catus,0.686,0.225,-0.00981,0.366,0.356,0.00889,1.87,0.631,-1.1,0.0609,0.528,0.27,0.692,0.887,0.581,No,No,No
Lachnospiraceae,Coprococcus,C.eutactus,0.835,-0.102,-0.0033,0.572,0.54,0.0156,1.46,-0.188,-0.211,0.145,0.851,0.833,0.692,0.954,0.945,No,No,No
Lachnospiraceae,Dorea,D.formicigenerans,-0.274,-0.699,0.00863,0.353,0.338,0.00834,-0.775,-2.07,1.04,0.438,0.0386,0.301,0.801,0.641,0.581,No,No,No
Lachnospiraceae,Roseburia,R.faecis,-0.459,0.0671,0.00312,0.455,0.357,0.00822,-1.01,0.188,0.379,0.313,0.851,0.705,0.692,0.954,0.897,No,No,No
Ruminococcaceae,Butyricicoccus,B.pullicaecorum,0.255,0.475,-0.0172,0.427,0.442,0.0122,0.598,1.07,-1.41,0.55,0.282,0.159,0.836,0.791,0.581,No,No,No
Ruminococcaceae,Faecalibacterium,F.prausnitzii,-0.334,-0.101,8.85e-4,0.318,0.355,0.00767,-1.05,-0.285,0.115,0.295,0.775,0.908,0.692,0.954,0.969,No,No,No
Ruminococcaceae,Gemmiger,G.formicilis,-0.388,-0.655,0.0112,0.322,0.373,0.00687,-1.2,-1.75,1.64,0.229,0.0794,0.102,0.692,0.641,0.535,No,No,No
Ruminococcaceae,Ruminococcus,R.bromii,0.102,-0.905,0.011,0.598,0.554,0.0144,0.171,-1.63,0.76,0.864,0.102,0.447,0.887,0.641,0.696,No,No,No
Ruminococcaceae,Ruminococcus,R.callidus,0.13,-0.0422,0.0343,0.483,0.487,0.0132,0.269,-0.0867,2.59,0.788,0.931,0.00951,0.87,0.969,0.0999,No,No,No
Ruminococcaceae,Ruminococcus,R.flavefaciens,0.0682,-0.262,0.00101,0.405,0.373,0.0105,0.168,-0.704,0.0966,0.866,0.482,0.923,0.887,0.861,0.969,No,No,No
Veillonellaceae,Veillonella,V.dispar,0.252,0.224,-0.00822,0.22,0.239,0.0065,1.14,0.938,-1.26,0.252,0.348,0.206,0.692,0.858,0.581,No,No,No
Erysipelotrichaceae,[Eubacterium],E.biforme,-0.623,-0.204,0.0176,0.385,0.366,0.00888,-1.62,-0.556,1.99,0.106,0.578,0.0469,0.692,0.934,0.384,No,No,No
Erysipelotrichaceae,[Eubacterium],E.cylindroides,0.608,0.318,-0.0103,0.416,0.356,0.00963,1.46,0.892,-1.07,0.144,0.372,0.283,0.692,0.858,0.581,No,No,No
Erysipelotrichaceae,[Eubacterium],E.dolichum,-0.137,-0.33,-0.00902,0.248,0.256,0.00712,-0.552,-1.29,-1.27,0.581,0.198,0.205,0.836,0.641,0.581,No,No,No
Erysipelotrichaceae,Bulleidia,B.p-1630-c5,0.58,0.268,0.00385,0.507,0.517,0.0159,1.14,0.52,0.242,0.253,0.603,0.808,0.692,0.939,0.943,No,No,No
Erysipelotrichaceae,Clostridium,C.ramosum,-0.122,0.0152,-0.00504,0.217,0.275,0.00757,-0.562,0.0554,-0.666,0,0.956,0.506,0,0.969,0.732,No,Yes,No
Erysipelotrichaceae,Clostridium,C.spiroforme,-0.609,-0.66,0.00121,0.337,0.355,0.0102,-1.8,-1.86,0.119,0.0711,0.0631,0.905,0.692,0.641,0.969,No,No,No
Desulfovibrionaceae,Desulfovibrio,D.D168,0.112,0.297,-0.0159,0.361,0.425,0.00831,0.309,0.699,-1.91,0.757,0.484,0.0559,0.859,0.861,0.384,No,No,No
Pasteurellaceae,Haemophilus,H.parainfluenzae,0.515,0.228,-0.0219,0.375,0.332,0.00832,1.37,0.687,-2.63,0.17,0.492,0.0085,0.692,0.861,0.0999,No,No,No
Verrucomicrobiaceae,Akkermansia,A.muciniphila,0.201,-0.206,0.007,0.581,0.481,0.0152,0.345,-0.428,0.461,0.73,0.669,0.645,0.852,0.954,0.859,No,No,No
NA,NA,Unknown,-0.0244,0.0376,0.00169,0.14,0.119,0.00315,-0.175,0.317,0.536,0.861,0.751,0.592,0.887,0.954,0.828,No,No,No
